id,Thương hiệu,Dòng xe,Loại xe,Dung tích xe,Giá,Số_km_da_đi,Tuoi_xe,Km_moi_nam,Tuoi_xe_x_Km,Log_Gia,full_description
26,ktm,1290 super duke r,tay côn moto,trên 175 cc,350.0,13000,11.0,1171.1711711711712,143000.0,5.860786223465865,không có nhu cầu chạy xe nhượng lại cho anh em cân ktm 1290 super duke r tay côn moto trên 175 cc xe ít đi anh em xem xe thì nhắn tin cho tôi trước xem xe ở vinhomes central park bình thạnh hcm
27,honda,winner x,tay côn moto,100 175 cc,19.0,5000,6.0,819.672131147541,30000.0,2.995732273553991,bán xe winner x 2019 honda winner x tay côn moto 100 175 cc kẹt tiền cần bán gấp xe mua cho con chạy mà giờ nhóc đi làm nước ngoài ko ai chạy em cần bán lại xe còn mới 90 bao tranh chấp
28,honda,scr,tay ga,100 175 cc,7.0,15000,15.0,993.3774834437087,225000.0,2.0794415416798357,bán xe tay ga honda scr đời đầu 2010 còn chạy tốt honda scr tay ga 100 175 cc bán xe tay ga honda scr đời đầu 2010 còn chạy tốt xe nữ đi nên máy còn chạy rất êm lh
29,suzuki,hayate,tay ga,100 175 cc,4.3,55000,14.0,3900.7092198581563,770000.0,1.667706820558076,cần bán hayate máy êm bstp suzuki hayate tay ga 100 175 cc xe bao tranh chấp máy êm biển thành phố mua về là sử dụng thích hợp cho anh em đi làm giao dịch trực tiếp quận 5 tphcm
30,yamaha,exciter,tay côn moto,100 175 cc,32.0,48364,3.0,15601.290322580644,145092.0,3.4965075614664802,cần bán ex155 chính chủ bstp yamaha exciter tay côn moto 100 175 cc xe bstp sang tên hay ủy quyền đều được xem xe tại q 1 lh sdt zalo
31,honda,wave,xe số,100 175 cc,12.5,30000,7.0,4225.352112676057,210000.0,2.6026896854443837,ban xe honda wave xe số 100 175 cc xe nhà đang đi đời 2018 chính chủ máy nguyên zin giá 12 trieu500
32,honda,sh,tay ga,100 175 cc,87.0,9500,3.0,3064.516129032258,28500.0,4.477336814478207,sh150i 2022 abs chính chủ cần bán honda sh tay ga 100 175 cc bán xe sh 150 i abs xe chính chủ đỏ đẹp như mới biển số thành phố giá 87 000 000 đ xe tại vũng tàu thông tin xe dòng xe honda sh 150 i abs màu đỏ đô sang trọng đăng ký tháng 11 2022 odo 9 500 km biển số thành phố tình trạng xe chính chủ đi rất ít giữ kỹ như mới chưa từng ngập nước hay đâm đụng máy móc zin nguyên bản 100 xe phù hợp cho anh chị cần một chiếc tay ga cao cấp đi êm kiểu dáng sang trọng giá hợp lý so với xe mới
33,hãng khác,dòng khác,tay ga,100 175 cc,43.0,5000,6.0,819.672131147541,30000.0,3.784189633918261,cần bán xe vespa primaria 2019 iget hãng khác dòng khác tay ga 100 175 cc xe nữ đi lại máy còn mới biển số sài gòn đẹp
34,sym,attila,tay ga,100 175 cc,3.2,10000,16.0,621.1180124223602,160000.0,1.4350845252893227,giao dịch tận nhà cần giấy tay thì thì manb giấy sym attila tay ga 100 175 cc xe cũ ko chạy đã lâu giấy tờ đầy đủ cần giấy tay thì mang giấy và viết
35,piaggio,zip,tay ga,100 175 cc,21.0,8000,6.0,1311.4754098360656,48000.0,3.091042453358316,xe nha ich su dung tinh trang xe hoan hao piaggio zip tay ga 100 175 cc xe piaggio tât ca đêu hoat đông rât tôt xe không thây phu tung tât ca chinh hang
36,honda,sh,tay ga,100 175 cc,70.0,52000,5.0,10196.078431372549,260000.0,4.2626798770413155,cần bán xe sh 150 i vn thắng cbs màu đen nhám honda sh tay ga 100 175 cc xe nhà đi kỹ có trầy theo năm tháng xe chính chủ ko phải cửa hàng mua bán hay trung gian mẫu 2019 đăng ký t1 2020 chiếc cuối cùng ở sg xe màu đen nhám máy móc chưa bung xe vừa thay ngớt dây coro bình nước mát xem xe tại quận 7 ko bán cho ac cửa hàng hay mô giới xe chính chủ đăng ký
37,honda,wave,xe số,50 100 cc,10.8,500,1.0,454.5454545454545,500.0,2.468099531471619,giấy tờ đầy đủ biển 70 honda wave xe số 50 100 cc ngoại hình đẹp áo new tem 110 phuộc nice cdn nhôm võ mới rổ thái chóa bọng full mới máy móc êm nhẹ full chức năng giấy tờ đầy đủ biển 7
38,yamaha,r,tay côn moto,100 175 cc,35.5,20000,6.0,3278.688524590164,120000.0,3.597312260588446,r15 v3 đen nhám yamaha r tay côn moto 100 175 cc tình hình là lên cc nên nhượng lại đam mê cho anh em chơi xe mình bảo dưỡng định kỳ 3 tháng lần thay dầu 1 5 k km bình mới vào 1 số đồ chơi phuộc nitro bình dầu chống đổ sườn pô lon sc có gắn tiêu trợ lực fullpass cnc vàng đèn bi cầu trợ sáng kenzo chắn bùn giá đỡ điện thoại gương cánh gió xi nhan tặng thêm cặp kính zin túi đựng đồ pat trên bình xăng bắng này đồ chơi găn thêm cộng bảo dưỡng thường xuyên nên anh em đừng ép giá nhé
39,peugeot,django,tay ga,50 100 cc,49.0,1363,4.0,332.43902439024396,5452.0,3.912023005428146,chính chủ bán xe chính hang xe pháp peugeot django tay ga 50 100 cc hãng xe pháp nổi tiếng hình sư tử peugeot xe đăng ký năm 2021 2022 và 2023 dính covid nên xe chạy rất ít và nữ chạy cẩn thânh nên còn rất mới máy móc zin thời gian sử dụng thực tế chưa tới 2 năm giấy tờ chính chủ
40,honda,click,xe số,100 175 cc,64.999999,25000,10.0,2475.2475247524753,250000.0,4.1896547268749105,click thái 125 trắng 2015 honda click xe số 100 175 cc xe gốc phú nhuận chủ chạy kỹ ngoại hình đẹp tưng máy móc chưa chỉnh sửa odo 25 k km ko tua máy móc phanh nhớt đã được kiểm tra vệ sinh bảo dưỡng bao công chứng giấy tờ hợp lệ liên hệ a nhựt nguyễn cư trinh sdt
41,honda,lead,tay ga,100 175 cc,11.5,50000,13.0,3816.7938931297713,650000.0,2.5257286443082556,bán xe nhà honda lead tay ga 100 175 cc do mới mua xe mới nên em cho ra đi bé này lead 110 cuối 2012 đá chống tắt máy ngoại hình đẹp lung linh máy móc bao êm chính chủ ký giấy xe em chạy hàng ngày nên anh chị em yên tâm dư dùng em mới bán nhà gần chùa ko nói dóc anh chị em cần xe ib hoặc alo mua liền bớt lộc chút đỉnh
42,honda,dòng khác,xe số,100 175 cc,23.0,120000,3.0,38709.67741935484,360000.0,3.1780538303479458,honda future 2022 honda dòng khác xe số 100 175 cc xe mình đang đứng ủy quyền date cao 2022 nhận giao lưu với xe ga cho vợ mình xem xe tại quận 1 sau giờ hành chánh
43,honda,,xe số,100 175 cc,12.8,1,7.0,0.14084507042253522,7.0,2.624668592163159,wave 2018 honda  xe số 100 175 cc hàng về anh chị nào cần xe đi làm đi cày bừa hú em wave 2018 bstp chính chủ máy móc nguyên êm zin dá 12 tr800 bớt lộc call
44,sym,attila,tay ga,100 175 cc,4.3,40000,21.0,1895.734597156398,840000.0,1.667706820558076,xe nhà đi ko dùng nữa ai cần ib ạ sym attila tay ga 100 175 cc có trầy theo năm tháng máy móc êm chạy thoải mái về quê bình thường
45,honda,air blade,tay ga,100 175 cc,45.0,80000,5.0,15686.274509803923,400000.0,3.828641396489095,airblade 2020 62 2 honda air blade tay ga 100 175 cc airblade 150 2020 62 2 cần bán full máy 62 2 dên lightspeed lòng redleo 62 full aracer mini 5 af2 sensor 4 9 autotune cực nhạy pô zin móc lọc gió dna nồi canh theo bài đầu zin làm lên cam brt họng gió brt co gió intake kim phun brt pô arka g310 mâm rcb sơn màu vàng cát bộ mạch tăng sáng demi đổi màu auto passing chỉnh trên app đt yên xe tấn tài cặp vỏ michelin gp mới thay máy móc hoạt động hoàn hảo do mới bảo trì bs tp dễ nhìn dá ra đi 4 x x có như không nếu nhiệt tình xe công chứng 1 nốt nhạc do ngay chủ đầu tiên ae có nhu cầu xin liên hệ
46,honda,vision,tay ga,100 175 cc,22.5,46000,6.0,7540.983606557377,276000.0,3.1570004211501135,visino đỏ nâu đk 2019 honda vision tay ga 100 175 cc ban vision đỏ nâu dk lần đầu 2019 khóa smartkey bs tphcm máy zin áo có trầy nhẹ ace nào thích alo mình để hổ trợ giá tốt e k nhận tn cam on ace da xem bai ak
47,honda,air blade,tay ga,100 175 cc,10.8,51000,16.0,3167.701863354037,816000.0,2.468099531471619,xe nhà dư cần bán ab 2009 fi honda air blade tay ga 100 175 cc xe nhà dư cần bán xe ab 2009 fi phun xăng điện tử tiết kiệm xăng máy êm áo đẹp mua về chỉ sử dụng ko làm gì hết bstp gtđđ ko chính chủ bán bao tranh chấp tại nhà xem xe q1 bớt ít thôi nhé
48,honda,future,xe số,100 175 cc,25.8,15000,4.0,3658.536585365854,60000.0,3.288401887516811,future led 125 đk 11 2021 đen nhám bánh mâm bstp honda future xe số 100 175 cc đổi xe khác nên mình cần bán lại 1 xe máy honda future led 125 đk 11 2021 đen nhám bánh mâm bstp xe dán keo nguyên con nên tháo keo là mới keng xe chính chủ bà xã đứng tên và sử dụng chạy ít chủ yếu đi làm văn phòng hằng ngày odo đúng 15000 km máy móc nguyên zin bảo trì bảo dưỡng thay nhớt định kỳ đầy đủ xe công chứng mua bán sang tên hay ủy quyền đều được giá bán 25 triệu 800 ngàn bác nào có ý định trả giá dưới 25 triệu xin vui lòng ko liên hệ để tránh mất thời gian 2 bên ạ e xin cảm ơn liên hệ chủ xe quyên 0 chin0chin444chin0hai xem xe tại nhà đinh tiên hoàng q1
49,honda,sh,tay ga,trên 175 cc,140.0,999,8.0,123.33333333333334,7992.0,4.948759890378168,bán sh 300 i 2017 honda sh tay ga trên 175 cc sh 3 xị chưa bao giờ rẻ như lúc này sh300i nhập ý date 2017 biển số thành phố chính chủ máy móc êm ái full pxl ecu ate v4 3 x hp hỗ trợ anh em về zin không thêm phí đồ chơi cơ bản phuộc ohlins 818 chính hãng cặp đĩa braking chính hãng cùm domino xịn nồi sau malossi set pô cổ titan móc theo bài dá chỉ 12 x lấy phuộc thêm dùm em 13 đ bảo hành cục máy cho anh em an tâm sử dụng bao quay đầu cho anh em trãi nghiệm hỗ trợ góp trực tiếp với shop 50 60 nhận xe hỗ trợ góp qua ngân hàng quẹt thẻ tín dụng đc 293 vườn lài tân phú 368 moto sh125i sh150i sh350
50,honda,air blade,tay ga,100 175 cc,12.0,56688,8.0,6998.518518518519,453504.0,2.5649493574615367,ab 2017 màu hot đẹp honda air blade tay ga 100 175 cc mình trải nghiệm xong chia lại cho ai đam mê xe ab đời 2017 xe màu xám tím ca may đẹp máy êm đã thay nhớt đầy đủ xe bán 12 triệu giá này đọc kỹ giúp rồi dt cho mình mình chỉ bán cho người sử dụng anh em mua bán xe xin bỏ qua
51,yamaha,mio,tay ga,100 175 cc,25.99,4900,3.0,1580.6451612903224,14700.0,3.2954664270299134,yamaha fino 125 sporty chính chủ yamaha mio tay ga 100 175 cc xe yamaha mio fino 125 nhập indo chính chủ odo 4 900 km xem xe tại 183 10 bùi viện phường phạm ngũ lão quận 1 tphcm xem xe liên hệ gặp minh
52,honda,dòng khác,tay côn moto,trên 175 cc,120.0,2,5.0,0.3921568627450981,10.0,4.795790545596741,bán xe cb500x honda dòng khác tay côn moto trên 175 cc honda cb500x 2020 xe dàn ngoài đẹp keng ốc tán zin keng đồ zin theo xe xe lên đồ chơi đồ zin còn pô zin và phuộc zin trợ lực yss phuộc sau yss chống đổ khung thùng nhôm sau baga sau cặp đèn trợ sáng cặp đèn trong hình k có kinh gió lọc gió k n xe máy móc bảo dưỡng đầy đủ chuẩn zin mạnh êm vừa bảo dưỡng thay nhớt và thay nước mát xe bs tỉnh tp bà rịa sang tên thuế 1 chinh chủ ủy quyền hay mua bán sang tên nhanh chóng giá 120 triệu
53,honda,vario,tay ga,100 175 cc,32.0,27000,6.0,4426.229508196721,162000.0,3.4965075614664802,vario 150 đen nhám honda vario tay ga 100 175 cc nợ nần bán xe m đang đứng ủy quyền mua bán sang tên hợp lệ xe về đổ xăng là chạy
54,honda,msx 125,tay ga,100 175 cc,36.0,3263,2.0,1553.8095238095239,6526.0,3.6109179126442243,cần bán honda msx 125 tay ga 100 175 cc sửa dụng 2 tháng trầy vài vết nhẹ xe còn mới
55,honda,air blade,tay ga,100 175 cc,40.0,1000,1.0,909.090909090909,1000.0,3.713572066704308,ab 125 2021 honda air blade tay ga 100 175 cc dky lan đầu 2024 odo chưa đến 1000 km ạ xem xe trực tiếp tại 19 a cống quỳnh lh em
56,honda,wave,xe số,100 175 cc,6.8,23015,14.0,1632.2695035460993,322210.0,2.0541237336955462,xe wave rsx 2011 honda wave xe số 100 175 cc mua xe mới nên dư xe wave nhà đi mới thay nhớt bố thắng cổ pô viết giấy bao tranh chấp giao cà vẹt
57,honda,lead,tay ga,100 175 cc,8.5,92000,15.0,6092.71523178808,1380000.0,2.2512917986064953,xe chính chủ honda lead tay ga 100 175 cc nhà dư xe nên cần thanh lý sang tên liền tay xem xe tại quận 1 tphcm
58,royal enfield,interceptor 650,tay côn moto,trên 175 cc,120.0,11500,6.0,1885.2459016393443,69000.0,4.795790545596741,bán royal enfield 650 interceptor royal enfield interceptor 650 tay côn moto trên 175 cc hết đam mê ra đi em royal enfield interceptor 650 đk 2019 chính chủ biển hn odo xe 11500 km tặng kèm cặp thùng civi chính hãng cặp pô dusland chính hãng nốt giá cả còn thương lượng
59,honda,air blade,tay ga,100 175 cc,12.9,9999,15.0,662.1854304635762,149985.0,2.631888840136646,air blade zin honda air blade tay ga 100 175 cc xe zin nguyên bản căng đét biển sg máy zin quá chất chạy im ru như xe điện xe cầm tl 9 chủ kí khó bao tranh chấp
60,hãng khác,dòng khác,xe số,50 100 cc,17.0,8000,1.0,7272.727272727272,8000.0,2.8903717578961645,wave alpha 2024 hãng khác dòng khác xe số 50 100 cc cần bán wave alpha 2024 kiểng nhẹ bstp 9 c mới đi được 8000 km giá 17 tr500k
61,honda,sh,tay ga,100 175 cc,72.0,35000,6.0,5737.704918032788,210000.0,4.290459441148391,shvn2019 150 abs honda sh tay ga 100 175 cc như tiêu đề mình cần bán nhanh chính chủ bstp dễ nhìn 35036 vừa dán decal đổi màu xám lampo dàn chân sơn sporty mới đẹp máy móc êm ru bảo dưỡng định kỳ cảm ơn chotot duyệt tin
62,honda,rebel,tay côn moto,trên 175 cc,106.0,50000,39.0,1278.772378516624,1950000.0,4.672828834461906,bán xe honda rebel 250 cc năm 1986 honda rebel tay côn moto trên 175 cc bán xe honda rebel 250 cc năm 1986 xe nhà đang đi giờ em muốn đổi xe khác nên bán lại cho anh em nào yêu thích dòng xe này dung tích 250 cc năm sản xuất 1986 đồ zin 95 tình trạng hoàn hảo nguyên bản xe đẹp giấy tờ hải quan chính ngạch xe chính chủ mua bán sang tên ngay luôn biển số tp hcm tình trạng xe xe đang chạy ngon lành mượt mà bảo dưỡng định kỳ không cần sửa chữa mua về chỉ đổ xăng vào chạy xe kiểu dáng huyền thoại phong cách cổ điển động cơ mạnh mẽ bền bỉ phù hợp cho những ai yêu thích dòng xe mô tô cổ giá bán 106 triệu anh em thiện chí mua liên hệ trực tiếp với em là chính chủ xem xe tại quận 1 cảm ơn chợ tốt đã đăng tin
63,honda,air blade,tay ga,100 175 cc,39.0,11000,2.0,5238.095238095238,22000.0,3.6888794541139363,honda airblade 4 val 2023 honda air blade tay ga 100 175 cc hi mọi người do mình muốn đổi lên xe to xác hơn do mình to con đi xe ab nhỏ này thấy không thoải mái nên cần bán chiếc xe này xe mình mua mới tại head phát tiến cmt8 vào t7 2023 bstp q10 chính chủ mình đứng tên sang tên ủy quyền đều được odoo tầm 11 ngàn km có tăng hằng ngày do là xe đi làm tình trạng xe có dán full keo có trầy do mình gửi trong bãi xe khá hẹp về lột ra dán lại hết là như mới bảo dưỡng tầm 1500 km 2000 km là mình mang vô hãng thay nhớt máy nhớt láp vừa thay luôn lọc gió và bugi bảo dưỡng đầy đủ và đúng theo lịch phần khác mình có lên thêm 1 số món để xe đi thoải mái an toàn hơn hơn đã thay cặp lốp pirelli rosso sport vừa đi gần 1000 km gù sh150i cụm thắng rcb mão ab160 lốt cốp 3 d cảm biến bật tắt đèn xe tự động đồ zin còn đủ hết nay muốn bán hoặc giao lưu pcx125 150 bù trừ hợp lý mọi thông tin mình đã ghi đủ mọi người cần thêm thông tin gì thì cứ sms zalo mình nhé cảm ơn cả nhà
64,triumph,triumph bonneville t100,tay côn moto,trên 175 cc,0.00037,8900,1.0,8090.90909090909,8900.0,0.00036993156687964933,cần bán triumph triumph bonneville t100 tay côn moto trên 175 cc bonneville my2024 màu jet black siêu đẹp đăng ký lần đầu 2 2024 một chủ tôi chủ từ đầu biển số tp thuế sang tên 1 odo lướt 8900 km xe đi kĩ chưa một lần đổ ngã xe có gắn thêm chống đổ che két nước bv gầm giá em bán 3 xx triệu cam kết xe không đâm đụng không ngập nước ngã
65,yamaha,janus,tay ga,100 175 cc,26.0,2400,1.0,2181.8181818181815,2400.0,3.295836866004329,xe tay ga janus màu xanh đen 125 cc 2024 mới 95 yamaha janus tay ga 100 175 cc xe chưa hư hỏng bao giờ mua tại hãng tháng 7 2024 xem xe liên hệ em nhé ạ
66,honda,cub,xe số,dưới 50 cc,9.2,12000,27.0,442.8044280442804,324000.0,2.322387720290225,cúp nhật 81 đèn tròn 50 cc mới keng honda cub xe số dưới 50 cc nhà ít dùng e giao lưu con cúp nhật 81 50 cc cực đẹp biển số đẹp số lùi như tiến tiền như núi xe tâm huyết nhà e cúp nhật 81 đời cao chót vót máy cực chất miễn bàn luôn thì thầm mùa xuân bao ae êm ru ru xe giấy tờ đầy đủ 50 cc đi ko cần bằng lái lưu ý giá tốt nên ko bớt ae mua dc hả gọi khỏi mất thời gian cảm ơn miễn trả lời tin nhắn
